sentence_main,sentence_lemma
জবাবদিহি জায়গাটি,জবাবদিহি জায়গা
জায়গাটি অভদ্রভাবে,জায়গা অভদ্র
অভদ্রভাবে পেয়ালার,অভদ্র পেয়ালা
পেয়ালার বুকই,পেয়ালা বুক
বুকই মৌসুমটা,বুক মৌসুম
মৌসুমটা আসি,মৌসুম আসা
আসি ফোটে,আসা ফোটা
ফোটে অবশকরণজনিত,ফোটা অবশ
অবশকরণজনিত ডায়রিটা,অবশ ডায়রি
ডায়রিটা পাইপটা,ডায়রি পাইপ
পাইপটা মেঘের,পাইপ মেঘ
মেঘের বিনিময়তে,মেঘ বিনিময়
বিনিময়তে ক্ষীর,বিনিময় ক্ষীর
ক্ষীর উদ্দেশেও,ক্ষীর উদ্দেশ
উদ্দেশেও পেয়ালাই,উদ্দেশ পেয়ালা
পেয়ালাই পেয়ালাতে,পেয়ালা পেয়ালা
পেয়ালাতে আস্থাটা,পেয়ালা আস্থা
আস্থাটা হ্যাঁ,আস্থা হ্যাঁ
হ্যাঁ অর্ধেককে,হ্যাঁ অর্ধেক
অর্ধেককে ইটিট,অর্ধেক ইট
ইটিট কিডনিজনিত,ইট কিডনি
কিডনিজনিত প্রশ্রয়েতে,কিডনি প্রশ্রয়
প্রশ্রয়েতে নিলামি,প্রশ্রয় নিলাম
নিলামি অবদমনের,নিলাম অবদমন
অবদমনের অমলরূপী,অবদমন অমল
অমলরূপী তুলিয়া,অমল তোলা
তুলিয়া আয়াতে,তোলা আয়াত
আয়াতে আশ্চর্যজনকভাবে,আয়াত আশ্চর্য
আশ্চর্যজনকভাবে গাজরই,আশ্চর্য গাজর
গাজরই অন্তরীক্ষবাসিনী,গাজর অন্তরীক্ষ
অন্তরীক্ষবাসিনী আস্তেব্যস্তে,অন্তরীক্ষ আস্তে
আস্তেব্যস্তে সত্ত্বেও,আস্তে সত্ত্ব
সত্ত্বেও উত্পাতকারী,সত্ত্ব উত্পাত
উত্পাতকারী ইন্দ্রিয়ক্ষোভ,উত্পাত ইন্দ্রিয়
ইন্দ্রিয়ক্ষোভ অধিবর্ষের,ইন্দ্রিয় অধিবর্ষ
অধিবর্ষের ছরিয়েছে,অধিবর্ষ ছাড়া
ছরিয়েছে সশস্ত্র,ছাড়া সঅস্ত্র
সশস্ত্র উপজাতি,সঅস্ত্র উপজাতি
উপজাতি জীবনযাত্রার,উপজাতি জীবনযাত্রা
জীবনযাত্রার পলাশই,জীবনযাত্রা পলাশ
পলাশই যোদ্ধাকে,পলাশ যোদ্ধা
যোদ্ধাকে গুণমান,যোদ্ধা গুণমান
গুণমান চালাকের,গুণমান চালাক
চালাকের মৃণালিনী,চালাক মৃণালিনী
মৃণালিনী ভুবনটি,মৃণালিনী ভুবন
ভুবনটি ইরানই,ভুবন ইরান
