,Inflected_Word,Lemma,Prediction
0,নাড়াচাড়া,নাড়া,নাড়া
1,ডিভিডিটা,ডিভিডি,ডিভিডি
2,বৈচিত্র্য,বৈচিত্র্য,বৈচিত্র্য
3,যুদ্ধটিই,যুদ্ধ,যুদ্ধ
4,হেরুলেরা,হেরুল,হেরুল
5,ওয়েস্টমিনস্টারকে,ওয়েস্টমিনস্টার,ওয়েস্টমিনস্টার
6,এদেরও,এদের,এদের
7,সংগ্রাম,সংগ্রাম,সংগ্রাম
8,চুলকাচ্ছিলো,চুলকানো,চুলকানো
9,শিবোৎসবের,শিবোৎসব,শিবোৎসব
10,ইউনিটের,ইউনিট,ইউনিট
11,কলজেতে,কলজে,কলজে
12,লজক,লজক,লজক
13,ময়ূরবঙ্গের,ময়ূরবঙ্গ,ময়ূরবঙ্গ
14,বড়্গাছিয়া,বড়্গাছিয়া,বড়্গাছিয়া
15,সুযোগটাও,সুযোগ,সুযোগ
16,কাকরাইলে,কাকরাইল,কাকরাইল
17,চৌদ্দগ্রামে,চৌদ্দগ্রাম,চৌদ্দগ্রাম
18,আ্যসগার্ডিয়ান,গার্ডিয়ান,আ্যসগার্ডিয়ান
19,বয়সী,বয়স,বয়স
20,জনবক্তাসুলভ,জনবক্তা,জনবক্তা
21,সেবাস্টিয়ান,সেবাস্টিয়ান,সেবাস্টিয়ান
22,সিএমডি,সিএমডি,সিএমডি
23,সাক্ষীটিকে,সাক্ষী,সাক্ষী
24,প্রত্যয়যোগে,প্রত্যয়যোগ,প্রত্যয়যোগ
25,বহিঃত্বকের,বহিঃত্বক,বহিঃত্বক
26,বিআইপিএসএস,বিআইপিএসএস,বিআইপিএসএস
27,সারনেইকে,সারনেই,সারনেই
28,পালরা,পাল,পাল
29,মধ্যমপন্থি,মধ্যমপন্থি,মধ্যমপন্থি
30,বেখাপ্পা,বেখাপ্পা,বেখাপ্পা
31,থ্রুপুট,থ্রুপুট,থ্রুপুট
32,দীনহীনকে,দীনহীন,দীনহীন
33,কামধাতু,কামধাতু,কামধাতু
34,দিবেঃ,দেওয়া,দেওয়া
35,দূর্গে,দূর্গ,দূর্গ
36,পার্বণ,পার্বণ,পার্বণ
37,আইনগুলো,আইন,আইন
38,চোকল,চোকল,চোকল
39,গঠনর,গঠন,গঠন
40,মওদুদ,মওদুদ,মওদুদ
41,স্টারস্পোর্টস,স্টারস্পোর্টস,স্টারস্পোর্টস
42,ক্ষয়ণীয়কে,ক্ষয়ণীয়,ক্ষয়ণীয়
43,এগুলিও,এগুলো,এগুলো
44,নকড়া,নকড়া,নকড়া
45,তেশিয়েরা,তেশিয়ে,তেশিয়ে
46,সংগৃহীত,সংগৃহীত,সংগৃহীত
47,রবার্টটা,রবার্ট,রবার্ট
48,জানবে,জানা,জানা
49,বঙ্গবল্পুব্দর,বঙ্গবল্পুব্দর,বঙ্গবল্পুব্দর
