,y,y_pred
0,কফিন,কফিন
1,উচ্চশিক্ষা,উচ্চশিক্ষা
2,দারিদ্র্য,দারিদ্র্য
3,পাচঁ,পাচঁ
4,করা,করা
5,সপ্তাহ,সপ্তাহ
6,উত্তোলন,উত্তোলন
7,সবার,কে
8,মুরগী,মুরগী
9,উচ্ছ্বাস,উচ্ছ্বাস
10,আদম,আদম
11,ইন্ডিয়া,ইন্ডিয়া
12,চাপড়,চাপড়
13,কচু,কচু
14,অধ্যবসায়,অধ্যবসায়
15,ডাব,ডাব
16,ওয়ালটন,ওয়ালটন
17,বিকাল,বিকাল
18,পরীক্ষা,পরীক্ষা
19,আসা,আসা
20,ভিড়,ভিড়ে
21,একনায়কতন্ত্র,একনায়কতন্ত্র
22,বিকল্প,বিকল্প
23,শাকিল,শাকিল
24,গ্রুপ,গ্রুপ
25,জাতি,জাতি
26,কলা,কলা
27,মাতৃহারা,মাতৃহারা
28,স্ট্রিট,স্ট্রিট
29,উদ্যম,উদ্যম
30,রিকশা,রিকশা
31,বিভাজন,বিভাজক
32,অভাজন,অভাজন
33,লিস্ট,লিস্ট
34,কর্দমশিলা,কর্দমশিলা
35,মিলাদ,মিলাদ
36,ভোজন,ভোজন
37,প্রমিত,প্রমিত
38,ক্যাম্পাস,ক্যাম্পাস
39,সামঞ্জস্য,অসামঞ্জস্যপূর্ণ
40,ফরাসি,ফরাসি
41,ঘনত্ব,ঘনত্ব
42,ইজরায়েল,ইজরায়েলি
43,কাজ,কাজ
44,চার,চারট
45,এগারো,এগারো
46,কাটা,কাটা
47,দশমিক,দশমিক
48,হুসাইন,হুসাইন
49,যাওয়া,যাওয়া
50,নরম,নরম
51,ভুক্ত,ভুক্ত
52,অপুষ্টি,অপুষ্টি
53,লজ্জা,লজ্জা
54,যোগ্য,যোগ্য
55,মিলন,মিলনমেলা
56,জন্তু,জন্তু
57,উদবোধন,উদবোধন
58,কর্তৃপক্ষ,কর্তৃপক্ষ
59,টিথ,টিথ
60,আদেশ,আদেশ
61,জাম,জাম
62,তখন,তখন
63,অমঙ্গল,অমঙ্গল
64,না,নে
65,গোলক,গোল
66,লোকগীতি,লোকগতি
67,কাচা,কাচা
68,কনে,কন
69,অশুচি,অশুচি
70,অকাল,অকাল
71,মেলামেশা,মেলামেশা
72,বিদ্যাপীঠ,বিদ্যাপীঠ
73,মাইক্রোওয়েভ,মাইক্রোওয়েভ
74,তীর্থযাত্রী,তীর্থযাত্রী
75,কাটানো,কাটা
76,লড়াই,লড়াই
77,স্কুল,স্কুল
78,শিশুসাহিত্যিক,শিশুসাহিত্যিক
79,আপেক্ষিক,আপেক্ষিকতা
80,সমাজ,সমাজ
81,টেবিল,টেবিল
82,প্রতিরক্ষা,প্রতিরক্ষা
83,কম্বু,কম্বুকণ্ঠ
84,আহত,আহত
85,অদৃশ্য,অদৃশ্য
