,y,y_pred
0,অনাচার,অনাচার
1,সাপ,সাপ
2,করা,করা
3,আস্তরণ,আস্তরণ
4,উত্কৃষ্ট,উত্কৃষ্ট
5,দান,দান
6,গণনা,গণনা
7,পরেশ,পরেশ
8,কীটপতঙ্গ,কীটপতঙ্গ
9,মত,মত
10,গবেষণা,গবেষণা
11,উপস্থাপক,উপস্থাপক
12,লেখা,লেখা
13,চিতা,চিতা
14,অত্যাচার,অত্যাচার
15,যুবকবৃন্দ,যুবকবৃন্দ
16,গীতা,গীতা
17,খোসা,খোসা
18,উলটাদিকে,উলটাদিকে
19,করা,করা
20,চাওয়া,চাওয়া
21,অনন্ত,অনন্ত
22,লেখা,লেখা
23,আনা,আনিয়া
24,হকিম,হকিম
25,দাঁড়া,দাঁড়া
26,মেলা,মেলা
27,অরবিন্দ,অরবিন্দন
28,খেসারত,খেসারত
29,পেটেন্ট্,পেটেন্ট্
30,জমা,জম
31,মসজিদ,মসজিদ
32,অবদান,অবদান
33,কেরসিন,কেরসিন
34,ট্রাক,ট্রাক
35,ঘাড়,ঘাড়
36,এরূপ,এরূপ
37,সাপ,সাপ
38,জীব,জীব
39,চাকচিক্য,চাকচিক্য
40,আপসহীন,আপসহীন
41,আপন,আপনঘর
42,আবাসস্থল,আবাসস্থল
43,আশ্রয়,আশ্রয়
44,অকাল,অকাল
45,হৃদয়জয়,হৃদয়
46,লক্ষ,লক্ষ
47,অনুকল্প,অনুকল্প
48,কাটা,কাটা
49,চিত্তবিনোদন,চিত্তবিনোদন
50,কেঁচো,কেঁচো
51,ডাইনোসর,ডাইনোসর
52,আঁচড়,আঁচড়ানো
53,খোরাক,খোরা
54,মুখোপাধ্যায়,মুখোপাধ্যায়
55,দেখা,দেখা
56,কৃতজ্ঞ,কৃতজ্ঞ
57,কাপুরুষ,কাপুরুষ
58,উচ্চতা,উচ্চতা
59,ধুতি,ধুতি
60,কৃষ্ণ,কৃষ্ণগহ্বর
61,খাওয়া,খাওয়া
62,আলোকচিত্র,আলোকচিত্রগ্রাহক
63,অরণ্য,অরণ্য
64,মৃত্যু,মৃত্যু
65,ময়ূর,ময়ূর
66,পেঁয়াজ,পেঁয়াজ
67,তীক্ষ্ম,তীক্ষ্মনাসাহ
68,ডায়বেটিস,ডায়বেটিস
69,অবসর,অবসর
70,মাফ,মাফ
71,দূরদর্শন,দূরদর্শন
72,স্কুল,স্কুল
73,ইশারা,ইশারা
